pollutant,revoked_naaqs,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1992,pw_1993,pw_1994,pw_1995,pw_1996,pw_1997,pw_1998,pw_1999,pw_2000,pw_2001,pw_2002,pw_2003,pw_2004,pw_2005,pw_2006,pw_2007,pw_2008,pw_2009,pw_2010,pw_2011,pw_2012,pw_2013,pw_2014,pw_2015,pw_2016,pw_2017,pw_2018,pw_2019,pw_2020,pw_2021,exportdt
1-Hour Ozone (1979),Revoked,GEORGIA,GA,13,151,Henry Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,151,Henry Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,GEORGIA,GA,13,151,Henry Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,,,,,,2/28/21
8-Hour Ozone (2015),,GEORGIA,GA,13,151,Henry Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,151,Henry Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,207,Monroe Co,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,207,Monroe Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,213,Murray Co,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,2/28/21
Lead (1978),,GEORGIA,GA,13,215,Muscogee Co,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,217,Newton Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,GEORGIA,GA,13,217,Newton Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,217,Newton Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,GEORGIA,GA,13,223,Paulding Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,223,Paulding Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,GEORGIA,GA,13,223,Paulding Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,223,Paulding Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,237,Putnam Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,GEORGIA,GA,13,247,Rockdale Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,247,Rockdale Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (2008),,GEORGIA,GA,13,247,Rockdale Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,247,Rockdale Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,255,Spalding Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,255,Spalding Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,295,Walker Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,297,Walton Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,2/28/21
PM-2.5 (1997),,GEORGIA,GA,13,297,Walton Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
Sulfur Dioxide (1971),,GUAM,GU,66,010,Guam,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
Sulfur Dioxide (2010),,GUAM,GU,66,010,Piti-Cabras,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
Sulfur Dioxide (1971),,IOWA,IA,19,139,Muscatine Co,,,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,IOWA,IA,19,139,Muscatine Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,2/28/21
Lead (2008),,IOWA,IA,19,155,Pottawattamie Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,,2/28/21
Carbon Monoxide (1971),,IDAHO,ID,16,001,Ada Co,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,IDAHO,ID,16,001,Ada Co,,,,,,,,P,P,P,P,,,,,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,IDAHO,ID,16,005,Bannock Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,IDAHO,ID,16,017,Bonner Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
PM-2.5 (2006),,IDAHO,ID,16,041,Franklin Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,IDAHO,ID,16,077,Power Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2/28/21
PM-10 (1987),,IDAHO,ID,16,079,Shoshone Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,2/28/21
PM-2.5 (2012),,IDAHO,ID,16,079,Shoshone Co,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,031,Cook Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,031,Cook Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,031,Cook Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,031,Cook Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Lead (2008),,ILLINOIS,IL,17,031,Cook Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,,2/28/21
PM-10 (1987),,ILLINOIS,IL,17,031,Cook Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,031,Cook Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,ILLINOIS,IL,17,031,Cook Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,043,Du Page Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,043,Du Page Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,043,Du Page Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,043,Du Page Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,043,DuPage Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,063,Grundy Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,063,Grundy Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,063,Grundy Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,063,Grundy Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,063,Grundy Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,083,Jersey Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,083,Jersey Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,089,Kane Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,089,Kane Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,089,Kane Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,089,Kane Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,089,Kane Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,093,Kendall Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,093,Kendall Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,093,Kendall Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,093,Kendall Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,093,Kendall Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,2/28/21
PM-10 (1987),,ILLINOIS,IL,17,099,La Salle Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,097,Lake Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,097,Lake Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,097,Lake Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,097,Lake Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,097,Lake Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,119,Madison Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Lead (2008),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,2/28/21
PM-10 (1987),,ILLINOIS,IL,17,119,Madison Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,2/28/21
Sulfur Dioxide (2010),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,111,Mc Henry Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,111,Mc Henry Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,111,Mc Henry Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,111,Mc Henry Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,133,Monroe Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,133,Monroe Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,133,Monroe Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,133,Monroe Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,2/28/21
Sulfur Dioxide (1971),,ILLINOIS,IL,17,143,Peoria Co,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,ILLINOIS,IL,17,143,Peoria Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,157,Randolph Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,163,St Clair Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,163,St Clair Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,163,St Clair Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,163,St Clair Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,163,St. Clair Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
Sulfur Dioxide (1971),,ILLINOIS,IL,17,179,Tazewell Co,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,ILLINOIS,IL,17,179,Tazewell Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,2/28/21
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,197,Will Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,003,Allen Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,011,Boone Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,019,Clark Co,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,019,Clark Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (2015),,INDIANA,IN,18,019,Clark Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,019,Clark Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
Sulfur Dioxide (2010),,INDIANA,IN,18,027,Daviess Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,029,Dearborn Co,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,INDIANA,IN,18,029,Dearborn Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,029,Dearborn Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,035,Delaware Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,2/28/21
Lead (2008),,INDIANA,IN,18,035,Delaware Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,037,Dubois Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,039,Elkhart Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,039,Elkhart Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,043,Floyd Co,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,043,Floyd Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (2015),,INDIANA,IN,18,043,Floyd Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,043,Floyd Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,051,Gibson Co,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,055,Greene Co,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,057,Hamilton Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,057,Hamilton Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,059,Hancock Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,063,Hendricks Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,063,Hendricks Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,INDIANA,IN,18,069,Huntington Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,071,Jackson Co,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,077,Jefferson Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,081,Johnson Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,081,Johnson Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,091,La Porte Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (1971),,INDIANA,IN,18,091,La Porte Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,089,Lake Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,089,Lake Co,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,INDIANA,IN,18,089,Lake Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
8-Hour Ozone (2015),,INDIANA,IN,18,089,Lake Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,2/28/21
Carbon Monoxide (1971),,INDIANA,IN,18,089,Lake Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-10 (1987),,INDIANA,IN,18,089,Lake Co,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,089,Lake Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
Sulfur Dioxide (1971),,INDIANA,IN,18,089,Lake Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,095,Madison Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,097,Marion Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,097,Marion Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
Carbon Monoxide (1971),,INDIANA,IN,18,097,Marion Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Lead (1978),,INDIANA,IN,18,097,Marion Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,097,Marion Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
Sulfur Dioxide (1971),,INDIANA,IN,18,097,Marion Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,INDIANA,IN,18,097,Marion Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,109,Morgan Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,109,Morgan Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,INDIANA,IN,18,109,Morgan Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,125,Pike Co,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,2/28/21
Sulfur Dioxide (2010),,INDIANA,IN,18,125,Pike Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,127,Porter Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,127,Porter Co,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2/28/21
8-Hour Ozone (2008),,INDIANA,IN,18,127,Porter Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,127,Porter Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,145,Shelby Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,147,Spencer Co,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,141,St Joseph Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,141,St Joseph Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,2/28/21
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,163,Vanderburgh Co,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,163,Vanderburgh Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,2/28/21
PM-2.5 (1997),,INDIANA,IN,18,163,Vanderburgh Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,2/28/21
PM-10 (1987),,INDIANA,IN,18,165,Vermillion Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2/28/21
