pollutant,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1978,pw_1979,pw_1980,pw_1981,pw_1982,pw_1983,pw_1984,pw_1985,pw_1986,pw_1987,pw_1988,pw_1989,pw_1990
1-Hr Ozone (1979),MICHIGAN,MI,26,057,Gratiot County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,059,Hillsdale County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,063,Huron County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,065,Ingham County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,067,Ionia County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,075,Jackson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,077,Kalamazoo County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,081,Kent County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,087,Lapeer County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,091,Lenawee County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,093,Livingston County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,099,Macomb County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,103,Marquette County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),MICHIGAN,MI,26,111,Midland County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,115,Monroe County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,117,Montcalm County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,121,Muskegon County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,125,Oakland County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,139,Ottawa County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,145,Saginaw County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,147,St. Clair County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,149,St. Joseph County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,151,Sanilac County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,155,Shiawassee County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,157,Tuscola County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,159,Van Buren County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,161,Washtenaw County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MICHIGAN,MI,26,163,Wayne County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MINNESOTA,MN,27,003,Anoka County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,017,Carlton County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,019,Carver County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,037,Dakota County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,053,Hennepin County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,075,Lake County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,109,Olmsted County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,123,Ramsey County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,137,St. Louis County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,139,Scott County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,141,Sherburne County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MINNESOTA,MN,27,163,Washington County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),MISSOURI,MO,29,047,Clay County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,071,Franklin County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,095,Jackson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,099,Jefferson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,165,Platte County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,183,St. Charles County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,189,St. Louis County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MISSOURI,MO,29,510,St. Louis city,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),MONTANA,MT,30,087,Rosebud County,W,,,,,,,,,,,,
1-Hr Ozone (1979),MONTANA,MT,30,111,Yellowstone County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),NEBRASKA,NE,31,055,Douglas County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),NEBRASKA,NE,31,153,Sarpy County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),NEVADA,NV,32,003,Clark County,P,P,P,P,P,P,P,P,P,,,,
1-Hr Ozone (1979),NEVADA,NV,32,005,Douglas County,P,P,P,,,,,,,,,,
1-Hr Ozone (1979),NEVADA,NV,32,031,Washoe County,P,P,P,P,,,,,,,,,
1-Hr Ozone (1979),NEVADA,NV,32,510,Carson City,P,P,P,,,,,,,,,,
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,001,Belknap County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,003,Carroll County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,005,Cheshire County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,009,Grafton County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,011,Hillsborough County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,013,Merrimack County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,015,Rockingham County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,017,Strafford County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW HAMPSHIRE,NH,33,019,Sullivan County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,001,Atlantic County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,003,Bergen County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,005,Burlington County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,007,Camden County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,009,Cape May County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,011,Cumberland County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,013,Essex County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,015,Gloucester County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,017,Hudson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,019,Hunterdon County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,021,Mercer County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,023,Middlesex County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,025,Monmouth County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,027,Morris County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,029,Ocean County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,031,Passaic County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,033,Salem County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,035,Somerset County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,037,Sussex County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,039,Union County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW JERSEY,NJ,34,041,Warren County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW MEXICO,NM,35,001,Bernalillo County,W,P,P,P,,,,,,,,,
1-Hr Ozone (1979),NEW MEXICO,NM,35,013,Dona Ana County,,,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,001,Albany County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,003,Allegany County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,005,Bronx County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,007,Broome County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,009,Cattaraugus County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,011,Cayuga County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,013,Chautauqua County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,015,Chemung County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,017,Chenango County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,019,Clinton County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,021,Columbia County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,023,Cortland County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,025,Delaware County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,027,Dutchess County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,029,Erie County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,031,Essex County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,033,Franklin County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,035,Fulton County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,037,Genesee County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,039,Greene County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,041,Hamilton County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,043,Herkimer County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,045,Jefferson County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,047,Kings County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,049,Lewis County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,051,Livingston County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,053,Madison County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,055,Monroe County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,057,Montgomery County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,059,Nassau County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,061,New York County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,063,Niagara County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,065,Oneida County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,067,Onondaga County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,069,Ontario County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,071,Orange County,W,W,W,W,W,W,W,,,,,,W
1-Hr Ozone (1979),NEW YORK,NY,36,073,Orleans County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,075,Oswego County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,077,Otsego County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,079,Putnam County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,081,Queens County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,083,Rensselaer County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,085,Richmond County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,087,Rockland County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,089,St. Lawrence County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,091,Saratoga County,W,W,P,P,P,P,P,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,093,Schenectady County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,095,Schoharie County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,097,Schuyler County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,099,Seneca County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,101,Steuben County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,103,Suffolk County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,105,Sullivan County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,107,Tioga County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,109,Tompkins County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,111,Ulster County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,113,Warren County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,115,Washington County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,117,Wayne County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,119,Westchester County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NEW YORK,NY,36,121,Wyoming County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NEW YORK,NY,36,123,Yates County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,021,Buncombe County,W,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,057,Davidson County,,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,059,Davie County,,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,063,Durham County,W,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,067,Forsyth County,,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,071,Gaston County,,,,,,,,,,,,,W
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,077,Granville County,,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,081,Guilford County,,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,119,Mecklenburg County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),NORTH CAROLINA,NC,37,183,Wake County,,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH DAKOTA,ND,38,015,Burleigh County,W,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH DAKOTA,ND,38,025,Dunn County,W,,,,,,,,,,,,
1-Hr Ozone (1979),NORTH DAKOTA,ND,38,057,Mercer County,W,,,,,,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,003,Allen County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,005,Ashland County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,007,Ashtabula County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,013,Belmont County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,015,Brown County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,017,Butler County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,019,Carroll County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,021,Champaign County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,023,Clark County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,025,Clermont County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,027,Clinton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,029,Columbiana County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,035,Cuyahoga County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,037,Darke County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,041,Delaware County,W,W,W,W,W,W,W,W,,,,,
1-Hr Ozone (1979),OHIO,OH,39,043,Erie County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,045,Fairfield County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,047,Fayette County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,049,Franklin County,W,W,W,W,W,W,W,W,,,,,
1-Hr Ozone (1979),OHIO,OH,39,051,Fulton County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,055,Geauga County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,057,Greene County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,061,Hamilton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,063,Hancock County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,067,Harrison County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,069,Henry County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,071,Highland County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,073,Hocking County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,075,Holmes County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,077,Huron County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,081,Jefferson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,083,Knox County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,085,Lake County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,087,Lawrence County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,089,Licking County,W,W,W,W,W,W,W,W,,,,,
1-Hr Ozone (1979),OHIO,OH,39,091,Logan County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,093,Lorain County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,095,Lucas County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,099,Mahoning County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,103,Medina County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,109,Miami County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,113,Montgomery County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,117,Morrow County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,123,Ottawa County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,127,Perry County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,129,Pickaway County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,133,Portage County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,135,Preble County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,139,Richland County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,141,Ross County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,143,Sandusky County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,147,Seneca County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,149,Shelby County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,151,Stark County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,153,Summit County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,155,Trumbull County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,157,Tuscarawas County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,159,Union County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,165,Warren County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OHIO,OH,39,169,Wayne County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),OHIO,OH,39,173,Wood County,W,W,W,W,W,W,,,,,,,W
1-Hr Ozone (1979),OKLAHOMA,OK,40,027,Cleveland County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),OKLAHOMA,OK,40,109,Oklahoma County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),OKLAHOMA,OK,40,143,Tulsa County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),OREGON,OR,41,005,Clackamas County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),OREGON,OR,41,029,Jackson County,P,P,P,P,P,P,P,P,,,,,
1-Hr Ozone (1979),OREGON,OR,41,039,Lane County,P,P,,,,,,,,,,,
1-Hr Ozone (1979),OREGON,OR,41,047,Marion County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),OREGON,OR,41,051,Multnomah County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),OREGON,OR,41,053,Polk County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),OREGON,OR,41,067,Washington County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,001,Adams County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,003,Allegheny County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,005,Armstrong County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,007,Beaver County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,009,Bedford County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,011,Berks County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,013,Blair County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,015,Bradford County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,017,Bucks County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,019,Butler County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,021,Cambria County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,023,Cameron County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,025,Carbon County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,027,Centre County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,029,Chester County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,031,Clarion County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,033,Clearfield County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),PENNSYLVANIA,PA,42,035,Clinton County,W,W,W,W,W,W,W,,,,,,
