pollutant,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1978,pw_1979,pw_1980,pw_1981,pw_1982,pw_1983,pw_1984,pw_1985,pw_1986,pw_1987,pw_1988,pw_1989,pw_1990
1-Hr Ozone (1979),COLORADO,CO,08,001,Adams County,W,W,W,W,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),COLORADO,CO,08,005,Arapahoe County,W,W,W,W,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),COLORADO,CO,08,013,Boulder County,W,W,W,W,W,W,P,P,P,P,P,P,P
1-Hr Ozone (1979),COLORADO,CO,08,014,Broomfield Co,,,,,,,,,,,,,
1-Hr Ozone (1979),COLORADO,CO,08,031,Denver County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),COLORADO,CO,08,035,Douglas County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),COLORADO,CO,08,041,El Paso County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),COLORADO,CO,08,059,Jefferson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),COLORADO,CO,08,069,Larimer County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),COLORADO,CO,08,103,Rio Blanco County,W,,,,,,,,,,,,
1-Hr Ozone (1979),COLORADO,CO,08,123,Weld County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),CONNECTICUT,CT,09,001,Fairfield County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,003,Hartford County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,005,Litchfield County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,007,Middlesex County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,009,New Haven County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,011,New London County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,013,Tolland County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CONNECTICUT,CT,09,015,Windham County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),DELAWARE,DE,10,001,Kent County,,,,,,,,,,,,,W
1-Hr Ozone (1979),DELAWARE,DE,10,003,New Castle County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),DELAWARE,DE,10,005,Sussex County,,,,,,,,,,,,,
1-Hr Ozone (1979),DISTRICT OF COLUMBIA,DC,11,001,District of Columbia,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),FLORIDA,FL,12,011,Broward County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),FLORIDA,FL,12,025,Dade County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),FLORIDA,FL,12,031,Duval County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),FLORIDA,FL,12,033,Escambia County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),FLORIDA,FL,12,057,Hillsborough County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),FLORIDA,FL,12,073,Leon County,W,,,,,,,,,,,,
1-Hr Ozone (1979),FLORIDA,FL,12,086,Miami-Dade County,,,,,,,,,,,,,W
1-Hr Ozone (1979),FLORIDA,FL,12,095,Orange County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),FLORIDA,FL,12,099,Palm Beach County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),FLORIDA,FL,12,103,Pinellas County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,057,Cherokee County,,,,,,,,,,,,,W
1-Hr Ozone (1979),GEORGIA,GA,13,063,Clayton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,067,Cobb County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,077,Coweta County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,089,DeKalb County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,097,Douglas County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,113,Fayette County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,117,Forsyth County,,,,,,,,,,,,,W
1-Hr Ozone (1979),GEORGIA,GA,13,121,Fulton County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,135,Gwinnett County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,151,Henry County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),GEORGIA,GA,13,215,Muscogee County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),GEORGIA,GA,13,223,Paulding County,,,,,,,,,,,,,W
1-Hr Ozone (1979),GEORGIA,GA,13,247,Rockdale County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,001,Adams County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,007,Boone County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,019,Champaign County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,031,Cook County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,037,DeKalb County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,043,DuPage County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,063,Grundy County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,083,Jersey County,,,,,,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,089,Kane County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,091,Kankakee County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,093,Kendall County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,097,Lake County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,099,La Salle County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,111,McHenry County,W,W,W,W,W,,,,,,,,W
1-Hr Ozone (1979),ILLINOIS,IL,17,113,McLean County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,115,Macon County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,117,Macoupin County,,,,,,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,119,Madison County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,133,Monroe County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,143,Peoria County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,161,Rock Island County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,163,St. Clair County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ILLINOIS,IL,17,167,Sangamon County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,179,Tazewell County,W,W,W,W,W,,,,,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,197,Will County,W,W,W,W,W,,,,,,,,W
1-Hr Ozone (1979),ILLINOIS,IL,17,199,Williamson County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),ILLINOIS,IL,17,201,Winnebago County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),INDIANA,IN,18,003,Allen County,W,W,W,W,W,W,,,,,,,
1-Hr Ozone (1979),INDIANA,IN,18,019,Clark County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,039,Elkhart County,,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,043,Floyd County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,089,Lake County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,097,Marion County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,127,Porter County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,141,St. Joseph County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),INDIANA,IN,18,163,Vanderburgh County,W,W,W,W,,,,,,,,,
1-Hr Ozone (1979),IOWA,IA,19,113,Linn County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),IOWA,IA,19,153,Polk County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),IOWA,IA,19,155,Pottawattamie County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),IOWA,IA,19,163,Scott County,W,W,,,,,,,,,,,
1-Hr Ozone (1979),KANSAS,KS,20,045,Douglas County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),KANSAS,KS,20,091,Johnson County,W,W,W,W,W,W,W,W,W,W,W,W,W
