STATE,STATE_FIPS,COUNTY,COUNTY_FIPS,YEAR,POP,RACE_WHT,RACE_BLK,RACE_NTV,RACE_ASN,RACE_2P,RACE_LTN,INCOME,POVERTY
Alabama,01,Autauga County,001,1980,32259,0.7591679841284603,0.22393750581233143,0.003006912799528814,0.0026349235872159707,0,0.0112526736724635,5774.111348770886,0.1654422021761369
Alabama,01,Autauga County,001,1990,34222,0.7864531587867454,0.2000175325813804,0.002074688796680498,0.004733796972707615,0,0.00672082286248612,11180.314476068026,0.15557243878207003
Alabama,01,Autauga County,001,2000,43671,0.7925396716356392,0.1711204231641135,0.004442307251952097,0.008655629594009754,0.009273888850724736,0.013968079503560715,18517.48134917909,0.1084930503079847
Alabama,01,Autauga County,001,2010,54571,0.7613017903281963,0.1767055762218028,0.00425134228802844,0.017811658206739845,0.01592420882886515,0.024005424126367483,25253.27352995054,0.11480124564938633
Alabama,01,Autauga County,001,2019,55380,0.7396533044420368,0.19028530155290718,0.002527988443481401,0.017641747923438065,0.021632358252076562,0.02825929938605995,29818.36504153124,0.151851716980445
Alabama,01,Baldwin County,003,1980,78556,0.8303630531086105,0.1532028107337441,0.005499261673201283,8.147054330668568e-4,0,0.01012016905137736,5961.340203167168,0.16059880849330413
Alabama,01,Baldwin County,003,1990,98280,0.8500508750508751,0.12861212861212862,0.00641025641025641,0.004527879527879528,0,0.010398860398860399,12276.085012210011,0.1419108669108669
Alabama,01,Baldwin County,003,2000,140415,0.853897375636506,0.10286650286650287,0.005761492718014457,0.009471922515400777,0.010440480005697398,0.01756222625787843,20825.635843748885,0.09983263896307375
Alabama,01,Baldwin County,003,2010,182265,0.8128878281622912,0.09384687131374647,0.006671604531862947,0.02780566757194195,0.014939785477189806,0.04384824294296766,26769.229547116676,0.13099669260912752
Alabama,01,Baldwin County,003,2019,212830,0.8164262556970352,0.09264671333928487,0.00772917351877085,0.020706667293144763,0.016863224169524973,0.045627965982239345,32626.15819198421,0.10354072646433035
Alabama,01,Barbour County,005,1980,24756,0.5412425270641461,0.4444579091937308,8.482792050412022e-4,0.002625626110841816,0,0.010825658426240104,4541.573153982873,0.30534011956697366
Alabama,01,Barbour County,005,1990,25417,0.5505763858834638,0.44041389621119725,0.001809812330330094,0.002321281032379903,0,0.004878624542628949,9509.58091041429,0.2456623519691545
Alabama,01,Barbour County,005,2000,29038,0.49621186032095876,0.463220607479854,0.004511329981403678,0.012294235140161168,0.007300778290515876,0.01646118878710655,13314.277946139542,0.24216543839107377
Alabama,01,Barbour County,005,2010,27457,0.4295079578978038,0.46891503077539426,0.004151946680263685,0.03751320246203154,0.009396510907965182,0.0505153512765415,16531.678837962794,0.23280789253340128
