YEAR,ORISPL,NAME,STATE,SECTOR,SECTOR_NAME,NAICS,CHP,REPORTING,CAPACITY
2011,2,Bankhead Dam,AL,1,Electric Utility,22,N,A,45
2012,2,Bankhead Dam,AL,1,,22,N,A,
2013,2,Bankhead Dam,AL,1,Electric Utility,22,N,A,
2014,2,Bankhead Dam,AL,1,,22,N,A,
2015,2,Bankhead Dam,AL,1,,22,N,A,
2016,2,Bankhead Dam,AL,1,,22,N,A,
2017,2,Bankhead Dam,AL,1,,22,N,A,
2011,3,Barry,AL,1,Electric Utility,22,N,M,2841.5
2012,3,Barry,AL,1,,22,N,M,
2013,3,Barry,AL,1,Electric Utility,22,N,M,
2014,3,Barry,AL,1,,22,N,M,
2015,3,Barry,AL,1,,22,N,M,
2016,3,Barry,AL,1,,22,N,M,
2017,3,Barry,AL,1,,22,N,M,
2011,4,Walter Bouldin Dam,AL,1,Electric Utility,22,N,M,225
2012,4,Walter Bouldin Dam,AL,1,,22,N,M,
2013,4,Walter Bouldin Dam,AL,1,Electric Utility,22,N,M,
2014,4,Walter Bouldin Dam,AL,1,,22,N,M,
2015,4,Walter Bouldin Dam,AL,1,,22,N,M,
2016,4,Walter Bouldin Dam,AL,1,,22,N,M,
2017,4,Walter Bouldin Dam,AL,1,,22,N,A,
2011,7,Gadsden,AL,1,Electric Utility,22,N,A,138
2012,7,Gadsden,AL,1,,22,N,A,
2013,7,Gadsden,AL,1,Electric Utility,22,N,A,
2014,7,Gadsden,AL,1,,22,Y,A,
2015,7,Gadsden,AL,1,,22,Y,A,
2016,7,Gadsden,AL,1,,22,Y,A,
2017,7,Gadsden,AL,1,,22,Y,M,
2011,8,Gorgas,AL,1,Electric Utility,22,N,M,1416.7
2012,8,Gorgas,AL,1,,22,N,M,
2013,8,Gorgas,AL,1,Electric Utility,22,N,M,
2014,8,Gorgas,AL,1,,22,N,M,
2015,8,Gorgas,AL,1,,22,N,M,
2016,8,Gorgas,AL,1,,22,N,M,
2017,8,Gorgas,AL,1,,22,N,M,
2011,9,Copper,TX,1,Electric Utility,22,N,A,80.5
2012,9,Copper,TX,1,,22,N,A,
2013,9,Copper,TX,1,Electric Utility,22,N,A,
2014,9,Copper,TX,1,,22,N,A,
2015,9,Copper,TX,1,,22,N,A,
2016,9,Copper,TX,1,,22,N,A,
2017,9,Copper,TX,1,,22,N,A,
2011,10,Greene County,AL,1,Electric Utility,22,N,M,1288.4
2012,10,Greene County,AL,1,,22,N,M,
2013,10,Greene County,AL,1,Electric Utility,22,N,M,
2014,10,Greene County,AL,1,,22,N,M,
2015,10,Greene County,AL,1,,22,N,M,
2016,10,Greene County,AL,1,,22,N,M,
2017,10,Greene County,AL,1,,22,N,M,
2011,11,H Neely Henry Dam,AL,1,Electric Utility,22,N,A,72.9
2012,11,H Neely Henry Dam,AL,1,,22,N,A,
2013,11,H Neely Henry Dam,AL,1,Electric Utility,22,N,A,
2014,11,H Neely Henry Dam,AL,1,,22,N,A,
2015,11,H Neely Henry Dam,AL,1,,22,N,A,
2016,11,H Neely Henry Dam,AL,1,,22,N,A,
2017,11,H Neely Henry Dam,AL,1,,22,N,A,
2011,12,Holt Dam,AL,1,Electric Utility,22,N,A,40
2012,12,Holt Dam,AL,1,,22,N,A,
2013,12,Holt Dam,AL,1,Electric Utility,22,N,A,
2014,12,Holt Dam,AL,1,,22,N,A,
2015,12,Holt Dam,AL,1,,22,N,A,
2016,12,Holt Dam,AL,1,,22,N,A,
2017,12,Holt Dam,AL,1,,22,N,A,
2011,13,Jordan Dam,AL,1,Electric Utility,22,N,A,100
2012,13,Jordan Dam,AL,1,,22,N,A,
2013,13,Jordan Dam,AL,1,Electric Utility,22,N,A,
2014,13,Jordan Dam,AL,1,,22,N,A,
2015,13,Jordan Dam,AL,1,,22,N,A,
2016,13,Jordan Dam,AL,1,,22,N,A,
2017,13,Jordan Dam,AL,1,,22,N,A,
2011,14,Logan Martin Dam,AL,1,Electric Utility,22,N,M,128.1
2012,14,Logan Martin Dam,AL,1,,22,N,M,
2013,14,Logan Martin Dam,AL,1,Electric Utility,22,N,M,
2014,14,Logan Martin Dam,AL,1,,22,N,M,
2015,14,Logan Martin Dam,AL,1,,22,N,M,
2016,14,Logan Martin Dam,AL,1,,22,N,M,
2017,14,Logan Martin Dam,AL,1,,22,N,A,
2011,15,Lay Dam,AL,1,Electric Utility,22,N,M,177
2012,15,Lay Dam,AL,1,,22,N,M,
2013,15,Lay Dam,AL,1,Electric Utility,22,N,M,
2014,15,Lay Dam,AL,1,,22,N,M,
2015,15,Lay Dam,AL,1,,22,N,M,
2016,15,Lay Dam,AL,1,,22,N,M,
2017,15,Lay Dam,AL,1,,22,N,A,
2011,16,Martin Dam,AL,1,Electric Utility,22,N,M,210.6
2012,16,Martin Dam,AL,1,,22,N,M,
2013,16,Martin Dam,AL,1,Electric Utility,22,N,M,
2014,16,Martin Dam,AL,1,,22,N,M,
2015,16,Martin Dam,AL,1,,22,N,M,
2016,16,Martin Dam,AL,1,,22,N,M,
2017,16,Martin Dam,AL,1,,22,N,A,
2011,17,Mitchell Dam,AL,1,Electric Utility,22,N,M,170
2012,17,Mitchell Dam,AL,1,,22,N,M,
2013,17,Mitchell Dam,AL,1,Electric Utility,22,N,M,
2014,17,Mitchell Dam,AL,1,,22,N,M,
2015,17,Mitchell Dam,AL,1,,22,N,M,
2016,17,Mitchell Dam,AL,1,,22,N,M,
2017,17,Mitchell Dam,AL,1,,22,N,A,
2011,18,Lewis Smith Dam,AL,1,Electric Utility,22,N,M,157.4
2012,18,Lewis Smith Dam,AL,1,,22,N,M,
2013,18,Lewis Smith Dam,AL,1,Electric Utility,22,N,M,
2014,18,Lewis Smith Dam,AL,1,,22,N,M,
2015,18,Lewis Smith Dam,AL,1,,22,N,M,
2016,18,Lewis Smith Dam,AL,1,,22,N,M,
2017,18,Lewis Smith Dam,AL,1,,22,N,A,
2011,19,Thurlow Dam,AL,1,Electric Utility,22,N,A,91
2012,19,Thurlow Dam,AL,1,,22,N,A,
2013,19,Thurlow Dam,AL,1,Electric Utility,22,N,A,
2014,19,Thurlow Dam,AL,1,,22,N,A,
2015,19,Thurlow Dam,AL,1,,22,N,A,
2016,19,Thurlow Dam,AL,1,,22,N,A,
2017,19,Thurlow Dam,AL,1,,22,N,A,
2011,20,Weiss Dam,AL,1,Electric Utility,22,N,A,87.6
2012,20,Weiss Dam,AL,1,,22,N,A,
2013,20,Weiss Dam,AL,1,Electric Utility,22,N,A,
2014,20,Weiss Dam,AL,1,,22,N,A,
2015,20,Weiss Dam,AL,1,,22,N,A,
2016,20,Weiss Dam,AL,1,,22,N,A,
2017,20,Weiss Dam,AL,1,,22,N,A,
2011,21,Yates Dam,AL,1,Electric Utility,22,N,A,50.5
2012,21,Yates Dam,AL,1,,22,N,A,
2013,21,Yates Dam,AL,1,Electric Utility,22,N,A,
2014,21,Yates Dam,AL,1,,22,N,A,
2015,21,Yates Dam,AL,1,,22,N,A,
2016,21,Yates Dam,AL,1,,22,N,A,
2017,21,Yates Dam,AL,1,,22,N,A,
2011,26,E C Gaston,AL,1,Electric Utility,22,N,M,2034
2012,26,E C Gaston,AL,1,,22,N,M,
2013,26,E C Gaston,AL,1,Electric Utility,22,N,M,
2014,26,E C Gaston,AL,1,,22,N,M,
2015,26,E C Gaston,AL,1,,22,N,M,
2016,26,E C Gaston,AL,1,,22,N,M,
2017,26,E C Gaston,AL,1,,22,N,M,
2011,30,Madelia,MN,1,Electric Utility,22,N,A,11.8
2012,30,Madelia,MN,1,,22,N,A,
2013,30,Madelia,MN,1,Electric Utility,22,N,A,
2014,30,Madelia,MN,1,,22,N,A,
2015,30,Madelia,MN,1,,22,N,A,
2016,30,Madelia,MN,1,,22,N,A,
2017,30,Madelia,MN,1,,22,N,A,
2011,34,Rollins,CA,2,NAICS-22 Non-Cogen,22,N,A,12.1
2012,34,Rollins,CA,2,,22,N,A,
2013,34,Rollins,CA,2,NAICS-22 Non-Cogen,22,N,A,
2014,34,Rollins,CA,2,,22,N,A,
2015,34,Rollins,CA,2,,22,N,A,
2016,34,Rollins,CA,2,,22,N,A,
2017,34,Rollins,CA,2,,22,N,A,
2011,38,Millers Ferry,AL,1,Electric Utility,22,N,A,101.1
2012,38,Millers Ferry,AL,1,,22,N,A,
2013,38,Millers Ferry,AL,1,Electric Utility,22,N,A,
2014,38,Millers Ferry,AL,1,,22,N,A,
2015,38,Millers Ferry,AL,1,,22,N,A,
2016,38,Millers Ferry,AL,1,,22,N,A,
2017,38,Millers Ferry,AL,1,,22,N,A,
2011,46,Browns Ferry,AL,1,Electric Utility,22,N,M,1152
2012,46,Browns Ferry,AL,1,,22,N,M,
2013,46,Browns Ferry,AL,1,Electric Utility,22,N,M,
2014,46,Browns Ferry,AL,1,,22,N,M,
2015,46,Browns Ferry,AL,1,,22,N,M,
2016,46,Browns Ferry,AL,1,,22,N,M,
2017,46,Browns Ferry,AL,1,,22,N,M,
2011,47,Colbert,AL,1,Electric Utility,22,N,M,1826
2012,47,Colbert,AL,1,,22,N,M,
2013,47,Colbert,AL,1,Electric Utility,22,N,M,
2014,47,Colbert,AL,1,,22,N,M,
2015,47,Colbert,AL,1,,22,N,M,
2016,47,Colbert,AL,1,,22,N,M,
2017,47,Colbert,AL,1,,22,N,A,
2011,48,Guntersville,AL,1,Electric Utility,22,N,M,115.2
2012,48,Guntersville,AL,1,,22,N,M,
2013,48,Guntersville,AL,1,Electric Utility,22,N,M,
2014,48,Guntersville,AL,1,,22,N,M,
2015,48,Guntersville,AL,1,,22,N,M,
2016,48,Guntersville,AL,1,,22,N,M,
2017,48,Guntersville,AL,1,,22,N,A,
2011,49,Wheeler Dam,AL,1,Electric Utility,22,N,M,404
2012,49,Wheeler Dam,AL,1,,22,N,M,
2013,49,Wheeler Dam,AL,1,Electric Utility,22,N,M,
2014,49,Wheeler Dam,AL,1,,22,N,M,
2015,49,Wheeler Dam,AL,1,,22,N,M,
2016,49,Wheeler Dam,AL,1,,22,N,M,
2017,49,Wheeler Dam,AL,1,,22,N,A,
2011,50,Widows Creek,AL,1,Electric Utility,22,N,M,1265.6
2012,50,Widows Creek,AL,1,,22,N,M,
2013,50,Widows Creek,AL,1,Electric Utility,22,N,M,
2014,50,Widows Creek,AL,1,,22,N,M,
2015,50,Widows Creek,AL,1,,22,N,M,
2011,51,Dolet Hills,LA,1,Electric Utility,22,N,M,720.7
2012,51,Dolet Hills,LA,1,,22,N,M,
2013,51,Dolet Hills,LA,1,Electric Utility,22,N,M,
2014,51,Dolet Hills,LA,1,,22,N,M,
2015,51,Dolet Hills,LA,1,,22,N,M,
2016,51,Dolet Hills,LA,1,,22,N,M,
2017,51,Dolet Hills,LA,1,,22,N,M,
2011,53,Gantt,AL,1,Electric Utility,22,N,A,3
2012,53,Gantt,AL,1,,22,N,A,
2013,53,Gantt,AL,1,Electric Utility,22,N,A,
2014,53,Gantt,AL,1,,22,N,A,
2015,53,Gantt,AL,1,,22,N,A,
2016,53,Gantt,AL,1,,22,N,A,
2017,53,Gantt,AL,1,,22,N,A,
2011,54,J K Smith,KY,1,Electric Utility,22,N,M,1055
2012,54,J K Smith,KY,1,,22,N,M,
2013,54,J K Smith,KY,1,Electric Utility,22,N,M,
2014,54,J K Smith,KY,1,,22,N,M,
2015,54,J K Smith,KY,1,,22,N,M,
2016,54,J K Smith,KY,1,,22,N,M,
2017,54,J K Smith,KY,1,,22,N,M,
2011,55,Point A,AL,1,Electric Utility,22,N,A,5.2
2012,55,Point A,AL,1,,22,N,A,
2013,55,Point A,AL,1,Electric Utility,22,N,A,
2014,55,Point A,AL,1,,22,N,A,
2015,55,Point A,AL,1,,22,N,A,
2016,55,Point A,AL,1,,22,N,A,
2017,55,Point A,AL,1,,22,N,A,
2011,56,Charles R Lowman,AL,1,Electric Utility,22,N,M,538
2012,56,Charles R Lowman,AL,1,,22,N,M,
2013,56,Charles R Lowman,AL,1,Electric Utility,22,N,M,
2014,56,Charles R Lowman,AL,1,,22,N,M,
2015,56,Charles R Lowman,AL,1,,22,N,M,
2016,56,Charles R Lowman,AL,1,,22,N,M,
2017,56,Charles R Lowman,AL,1,,22,N,M,
2011,59,Platte,NE,1,Electric Utility,22,N,A,109.8
2012,59,Platte,NE,1,,22,N,A,
2013,59,Platte,NE,1,Electric Utility,22,N,A,
2014,59,Platte,NE,1,,22,N,A,
2015,59,Platte,NE,1,,22,N,A,
2016,59,Platte,NE,1,,22,N,A,
2017,59,Platte,NE,1,,22,N,A,
2011,60,Whelan Energy Center,NE,1,Electric Utility,22,N,A,324.3
2012,60,Whelan Energy Center,NE,1,,22,N,M,
2013,60,Whelan Energy Center,NE,1,Electric Utility,22,N,M,
2014,60,Whelan Energy Center,NE,1,,22,N,M,
2015,60,Whelan Energy Center,NE,1,,22,N,M,
2016,60,Whelan Energy Center,NE,1,,22,N,M,
2017,60,Whelan Energy Center,NE,1,,22,N,M,
2011,62,Annex Creek,AK,1,Electric Utility,22,N,A,4
2012,62,Annex Creek,AK,1,,22,N,A,
2013,62,Annex Creek,AK,1,Electric Utility,22,N,A,
2014,62,Annex Creek,AK,1,,22,N,A,
2015,62,Annex Creek,AK,1,,22,N,A,
2016,62,Annex Creek,AK,1,,22,N,A,
2017,62,Annex Creek,AK,1,,22,N,A,
2011,63,Gold Creek,AK,1,Electric Utility,22,N,A,9.7
2012,63,Gold Creek,AK,1,,22,N,A,
2013,63,Gold Creek,AK,1,Electric Utility,22,N,A,
2014,63,Gold Creek,AK,1,,22,N,A,
2015,63,Gold Creek,AK,1,,22,N,A,
2016,63,Gold Creek,AK,1,,22,N,A,
2017,63,Gold Creek,AK,1,,22,N,A,
2011,64,Lemon Creek,AK,1,Electric Utility,22,N,M,61.7
2012,64,Lemon Creek,AK,1,,22,N,M,
2013,64,Lemon Creek,AK,1,Electric Utility,22,N,M,
2014,64,Lemon Creek,AK,1,,22,N,M,
2015,64,Lemon Creek,AK,1,,22,N,M,
2016,64,Lemon Creek,AK,1,,22,N,M,
2017,64,Lemon Creek,AK,1,,22,N,A,
2011,65,Salmon Creek 1,AK,1,Electric Utility,22,N,A,8.5
2012,65,Salmon Creek 1,AK,1,,22,N,A,
2013,65,Salmon Creek 1,AK,1,Electric Utility,22,N,A,
2014,65,Salmon Creek 1,AK,1,,22,N,A,
2015,65,Salmon Creek 1,AK,1,,22,N,A,
2016,65,Salmon Creek 1,AK,1,,22,N,A,
2017,65,Salmon Creek 1,AK,1,,22,N,A,
2011,66,Skagway,AK,1,Electric Utility,22,N,A,4.4
2012,66,Skagway,AK,1,,22,N,A,
2013,66,Skagway,AK,1,Electric Utility,22,N,A,
2014,66,Skagway,AK,1,,22,N,A,
2015,66,Skagway,AK,1,,22,N,A,
2016,66,Skagway,AK,1,,22,N,A,
2017,66,Skagway,AK,1,,22,N,A,
2011,69,Haines,AK,1,Electric Utility,22,N,A,6.2
2012,69,Haines,AK,1,,22,N,A,
2013,69,Haines,AK,1,Electric Utility,22,N,A,
2014,69,Haines,AK,1,,22,N,A,
2015,69,Haines,AK,1,,22,N,A,
2016,69,Haines,AK,1,,22,N,A,
2017,69,Haines,AK,1,,22,N,A,
2011,70,Swan Lake,AK,1,Electric Utility,22,N,A,22.4
2012,70,Swan Lake,AK,1,,22,N,A,
2013,70,Swan Lake,AK,1,Electric Utility,22,N,A,
2014,70,Swan Lake,AK,1,,22,N,A,
2015,70,Swan Lake,AK,1,,22,N,A,
2016,70,Swan Lake,AK,4,,22131,N,A,
2017,70,Swan Lake,AK,4,,22131,N,A,
2011,71,Terror Lake,AK,1,Electric Utility,22,N,A,22.4
2012,71,Terror Lake,AK,1,,22,N,A,
2013,71,Terror Lake,AK,1,Electric Utility,22,N,A,
2014,71,Terror Lake,AK,1,,22,N,A,
2015,71,Terror Lake,AK,1,,22,N,A,
2016,71,Terror Lake,AK,1,,22,N,A,
2017,71,Terror Lake Microgrid,AK,1,,22,N,A,
2011,72,Venice,CA,1,Electric Utility,22,N,A,10.1
2012,72,Venice,CA,1,,22,N,A,
2013,72,Venice Hydro,CA,1,Electric Utility,22,N,A,
2014,72,Venice Hydro,CA,1,,22,N,A,
2015,72,Venice Hydro,CA,1,,22,N,A,
2016,72,Venice Hydro,CA,1,,22,N,A,
2017,72,Venice Hydro,CA,1,,22,N,A,
2011,75,Anchorage 1,AK,1,Electric Utility,22,N,A,100.9
2012,75,Anchorage 1,AK,1,,22,N,A,
2013,75,Anchorage 1,AK,1,Electric Utility,22,N,A,
2014,75,Anchorage 1,AK,1,,22,N,A,
2015,75,Anchorage 1,AK,1,,22,N,A,
2016,75,Anchorage 1,AK,1,,22,N,A,
2017,75,Anchorage 1,AK,1,,22,N,A,
2011,77,Eklutna Hydro Project,AK,1,Electric Utility,22,N,M,44.4
2012,77,Eklutna Hydro Project,AK,1,,22,N,M,
2013,77,Eklutna Hydro Project,AK,1,Electric Utility,22,N,M,
2014,77,Eklutna Hydro Project,AK,1,,22,N,M,
2015,77,Eklutna Hydro Project,AK,1,,22,N,M,
2016,77,Eklutna Hydro Project,AK,1,,22,N,M,
2017,77,Eklutna Hydro Project,AK,1,,22,N,A,
2011,78,Snettisham,AK,1,Electric Utility,22,N,M,78.2
2012,78,Snettisham,AK,1,,22,N,M,
2013,78,Snettisham,AK,1,Electric Utility,22,N,M,
2014,78,Snettisham,AK,1,,22,N,M,
2015,78,Snettisham,AK,1,,22,N,M,
2016,78,Snettisham,AK,1,,22,N,M,
2017,78,Snettisham,AK,1,,22,N,A,
2011,79,Aurora Energy LLC Chena,AK,3,NAICS-22 Cogen,22,Y,A,27.5
2012,79,Aurora Energy LLC Chena,AK,3,,22,Y,A,
2013,79,Aurora Energy LLC Chena,AK,3,NAICS-22 Cogen,22,Y,A,
2014,79,Aurora Energy LLC Chena,AK,3,,22,Y,A,
2015,79,Aurora Energy LLC Chena,AK,3,,22,Y,A,
2016,79,Aurora Energy LLC Chena,AK,3,,22,Y,A,
2017,79,Aurora Energy LLC Chena,AK,3,,22,Y,A,
2011,84,Ketchikan,AK,1,Electric Utility,22,N,A,4.2
2012,84,Ketchikan,AK,1,,22,N,A,
2013,84,Ketchikan,AK,1,Electric Utility,22,N,A,
2014,84,Ketchikan,AK,1,,22,N,A,
2015,84,Ketchikan,AK,1,,22,N,A,
2016,84,Ketchikan,AK,1,,22,N,A,
2017,84,Ketchikan,AK,1,,22,N,A,
2011,85,S W Bailey,AK,1,Electric Utility,22,N,A,25.9
2012,85,S W Bailey,AK,1,,22,N,A,
2013,85,S W Bailey,AK,1,Electric Utility,22,N,A,
2014,85,S W Bailey,AK,1,,22,N,A,
2015,85,S W Bailey,AK,1,,22,N,A,
2016,85,S W Bailey,AK,1,,22,N,A,
2017,85,S W Bailey,AK,1,,22,N,A,
2011,87,Escalante,NM,1,Electric Utility,22,N,M,257
2012,87,Escalante,NM,1,,22,N,M,
2013,87,Escalante,NM,1,Electric Utility,22,N,M,
2014,87,Escalante,NM,1,,22,N,M,
2015,87,Escalante,NM,1,,22,N,M,
2016,87,Escalante,NM,1,,22,N,M,
2017,87,Escalante,NM,1,,22,N,M,
2011,88,Ashokan,NY,1,Electric Utility,22,N,A,4.6
2012,88,Ashokan,NY,1,,22,N,A,
2013,88,Ashokan,NY,1,Electric Utility,22,N,A,
2014,88,Ashokan,NY,1,,22,N,A,
2015,88,Ashokan,NY,1,,22,N,A,
2016,88,Ashokan,NY,1,,22,N,A,
2017,88,Ashokan,NY,1,,22,N,A,
2011,90,Snake River,AK,1,Electric Utility,22,N,A,16.2
2012,90,Snake River,AK,1,,22,N,A,
2013,90,Snake River,AK,1,Electric Utility,22,N,A,
2014,90,Snake River,AK,1,,22,Y,A,
2015,90,Snake River,AK,1,,22,N,A,
2016,90,Snake River,AK,1,,22,N,A,
2017,90,Snake River,AK,1,,22,N,A,
2011,91,Petersburg,AK,1,Electric Utility,22,N,A,12.3
2012,91,Petersburg,AK,1,,22,N,A,
2013,91,Petersburg,AK,1,Electric Utility,22,N,A,
2014,91,Petersburg,AK,1,,22,N,A,
2015,91,Petersburg,AK,1,,22,N,A,
2016,91,Petersburg,AK,1,,22,N,A,
2017,91,Petersburg,AK,1,,22,N,A,
2011,92,Seward,AK,1,Electric Utility,22,N,A,15.6
2012,92,Seward,AK,1,,22,N,A,
2013,92,Seward (AK),AK,1,Electric Utility,22,N,A,
2014,92,Seward (AK),AK,1,,22,N,A,
2015,92,Seward (AK),AK,1,,22,N,A,
2016,92,Seward (AK),AK,1,,22,N,A,
2017,92,Seward (AK),AK,1,,22,N,A,
2011,93,Blue Lake,AK,1,Electric Utility,22,N,A,7
2012,93,Blue Lake,AK,1,,22,N,A,
2013,93,Blue Lake Hydro,AK,1,Electric Utility,22,N,A,
2014,93,Blue Lake Hydro,AK,1,,22,N,A,
2015,93,Blue Lake Hydro,AK,1,,22,N,A,
2016,93,Blue Lake Hydro,AK,1,,22,N,A,
2017,93,Blue Lake Hydro,AK,1,,22,N,A,
2011,95,Wrangell,AK,1,Electric Utility,22,N,A,8.5
2012,95,Wrangell,AK,1,,22,N,A,
2013,95,Wrangell,AK,1,Electric Utility,22,N,A,
2014,95,Wrangell,AK,1,,22,N,A,
2015,95,Wrangell,AK,1,,22,N,A,
2016,95,Wrangell,AK,1,,22,N,A,
2017,95,Wrangell,AK,1,,22,N,A,
2011,96,Beluga,AK,1,Electric Utility,22,N,M,374.4
2012,96,Beluga,AK,1,,22,N,M,
2013,96,Beluga,AK,1,Electric Utility,22,N,M,
2014,96,Beluga,AK,1,,22,N,M,
2015,96,Beluga,AK,1,,22,N,M,
2016,96,Beluga,AK,1,,22,N,M,
2017,96,Beluga,AK,1,,22,N,M,
2011,99,Frederickson,WA,1,Electric Utility,22,N,A,177.8
2012,99,Frederickson,WA,1,,22,N,A,
2013,99,Frederickson,WA,1,Electric Utility,22,N,A,
2014,99,Frederickson,WA,1,,22,N,A,
2015,99,Frederickson,WA,1,,22,N,A,
2016,99,Frederickson,WA,1,,22,N,A,
2017,99,Frederickson,WA,1,,22,N,A,
2011,100,South Consolidated,AZ,1,Electric Utility,22,N,A,1.4
2012,100,South Consolidated,AZ,1,,22,N,A,
2013,100,South Consolidated,AZ,1,Electric Utility,22,N,A,
2014,100,South Consolidated,AZ,1,,22,N,A,
2015,100,South Consolidated,AZ,1,,22,N,A,
2016,100,South Consolidated,AZ,1,,22,N,A,
2017,100,South Consolidated,AZ,1,,22,N,A,
2011,104,J S Eastwood,CA,1,Electric Utility,22,N,M,199.8
2012,104,J S Eastwood,CA,1,,22,N,M,
2013,104,J S Eastwood,CA,1,Electric Utility,22,N,M,
2014,104,J S Eastwood,CA,1,,22,N,M,
2015,104,J S Eastwood,CA,1,,22,N,M,
2016,104,J S Eastwood,CA,1,,22,N,M,
2017,104,J S Eastwood,CA,1,,22,N,M,
2011,108,Holcomb,KS,1,Electric Utility,22,N,M,348.7
2012,108,Holcomb,KS,1,,22,N,M,
2013,108,Holcomb,KS,1,Electric Utility,22,N,M,
2014,108,Holcomb,KS,1,,22,N,M,
2015,108,Holcomb,KS,1,,22,N,M,
2016,108,Holcomb,KS,1,,22,N,M,
2017,108,Holcomb,KS,1,,22,N,M,
2011,109,Dillingham,AK,1,Electric Utility,22,N,A,6.6
2012,109,Dillingham,AK,1,,22,N,A,
2013,109,Dillingham,AK,1,Electric Utility,22,N,A,
2014,109,Dillingham,AK,1,,22,N,A,
2015,109,Dillingham,AK,1,,22,N,A,
2016,109,Dillingham,AK,1,,22,N,A,
2017,109,Dillingham,AK,1,,22,N,A,
2011,113,Cholla,AZ,1,Electric Utility,22,N,M,1128.8
2012,113,Cholla,AZ,1,,22,N,M,
2013,113,Cholla,AZ,1,Electric Utility,22,N,M,
2014,113,Cholla,AZ,1,,22,N,M,
2015,113,Cholla,AZ,1,,22,N,M,
2016,113,Cholla,AZ,1,,22,N,M,
2017,113,Cholla,AZ,1,,22,N,M,
2011,114,Douglas,AZ,1,Electric Utility,22,N,A,21.4
2012,114,Douglas,AZ,1,,22,N,A,
2013,114,Douglas,AZ,1,Electric Utility,22,N,A,
2014,114,Douglas,AZ,1,,22,N,A,
2015,114,Douglas,AZ,1,,22,N,A,
2016,114,Douglas,AZ,1,,22,N,A,
2017,114,Douglas,AZ,1,,22,N,A,
2011,116,Ocotillo,AZ,1,Electric Utility,22,N,M,334
2012,116,Ocotillo,AZ,1,,22,N,M,
2013,116,Ocotillo,AZ,1,Electric Utility,22,N,M,
2014,116,Ocotillo,AZ,1,,22,N,M,
2015,116,Ocotillo,AZ,1,,22,N,M,
2016,116,Ocotillo,AZ,1,,22,N,M,
2017,116,Ocotillo,AZ,1,,22,N,A,
2011,117,West Phoenix,AZ,1,Electric Utility,22,N,M,1206.8
2012,117,West Phoenix,AZ,1,,22,N,M,
2013,117,West Phoenix,AZ,1,Electric Utility,22,N,M,
2014,117,West Phoenix,AZ,1,,22,N,M,
2015,117,West Phoenix,AZ,1,,22,N,M,
2016,117,West Phoenix,AZ,1,,22,N,M,
2017,117,West Phoenix,AZ,1,,22,N,M,
2011,118,Saguaro,AZ,1,Electric Utility,22,N,M,435.5
2012,118,Saguaro,AZ,1,,22,N,M,
2013,118,Saguaro,AZ,1,Electric Utility,22,N,M,
2014,118,Saguaro,AZ,1,,22,N,M,
2015,118,Saguaro,AZ,1,,22,N,M,
2016,118,Saguaro,AZ,1,,22,N,M,
2017,118,Saguaro,AZ,1,,22,N,A,
2011,120,Yucca,AZ,1,Electric Utility,22,N,M,385.5
2012,120,Yucca,AZ,1,,22,N,M,
2013,120,Yucca,AZ,1,Electric Utility,22,N,M,
2014,120,Yucca,AZ,1,,22,N,M,
2015,120,Yucca,AZ,1,,22,N,M,
2016,120,Yucca,AZ,1,,22,N,M,
2017,120,Yucca,AZ,1,,22,N,M,
2011,124,Demoss Petrie,AZ,1,Electric Utility,22,N,A,85
2012,124,Demoss Petrie,AZ,1,,22,N,A,
2013,124,Demoss Petrie,AZ,1,Electric Utility,22,N,A,
2014,124,Demoss Petrie,AZ,1,,22,N,A,
2015,124,Demoss Petrie,AZ,1,,22,N,A,
2016,124,Demoss Petrie,AZ,1,,22,N,A,
2017,124,Demoss Petrie,AZ,1,,22,N,A,
2011,126,H Wilson Sundt Generating Station,AZ,1,Electric Utility,22,N,M,558.5
2012,126,H Wilson Sundt Generating Station,AZ,1,,22,N,M,
2013,126,H Wilson Sundt Generating Station,AZ,1,Electric Utility,22,N,M,
2014,126,H Wilson Sundt Generating Station,AZ,1,,22,N,M,
2015,126,H Wilson Sundt Generating Station,AZ,1,,22,N,M,
2016,126,H Wilson Sundt Generating Station,AZ,1,,22,N,M,
2017,126,H Wilson Sundt Generating Station,AZ,1,,22,N,M,
2011,127,Oklaunion,TX,1,Electric Utility,22,N,M,720
2012,127,Oklaunion,TX,1,,22,N,M,
2013,127,Oklaunion,TX,1,Electric Utility,22,N,M,
2014,127,Oklaunion,TX,1,,22,N,M,
2015,127,Oklaunion,TX,1,,22,N,M,
2016,127,Oklaunion,TX,1,,22,N,M,
2017,127,Oklaunion,TX,1,,22,N,M,
2011,130,Cross,SC,1,Electric Utility,22,N,M,2390.1
2012,130,Cross,SC,1,,22,N,M,
2013,130,Cross,SC,1,Electric Utility,22,N,M,
2014,130,Cross,SC,1,,22,N,M,
2015,130,Cross,SC,1,,22,N,M,
2016,130,Cross,SC,1,,22,N,M,
2017,130,Cross,SC,1,,22,N,M,
2011,136,Seminole,FL,1,Electric Utility,22,N,M,1429.2
2012,136,Seminole,FL,1,,22,N,M,
2013,136,Seminole (FL),FL,1,Electric Utility,22,N,M,
2014,136,Seminole (FL),FL,1,,22,N,M,
2015,136,Seminole (FL),FL,1,,22,N,M,
2016,136,Seminole (FL),FL,1,,22,N,M,
