TYPE,ID,SULFUR_N,SULFUR_MEAN,SULFUR_MEDIAN,SULFUR_SD,SULFUR_MIN,SULFUR_MAX,SULFUR_LOW
MSHA,1519008,120,1.4125,1.26,0.5359829578376881,0.83,3.05,FALSE
MSHA,1519011,88,3.8023863636363635,3.835,0.3962293377423916,2.47,4.8,FALSE
MSHA,1519015,56,0.945,0.915,0.14254823744964368,0.78,1.41,TRUE
MSHA,1519022,2,0.675,0.675,0.04949747468305829,0.64,0.71,TRUE
MSHA,1519025,6,0.8733333333333333,0.87,0.03141125063837268,0.84,0.92,TRUE
MSHA,1519027,10,0.953,0.875,0.24806137233443754,0.7,1.35,TRUE
MSHA,1519035,7,0.3557142857142857,0.34,0.06214422549122936,0.28,0.45,TRUE
MSHA,1519046,2,1.71,1.71,0.19798989873223333,1.57,1.85,FALSE
MSHA,1519050,39,0.9133333333333333,0.89,0.08566560856742962,0.81,1.19,TRUE
MSHA,1519056,1,3.68,3.68,NA,3.68,3.68,FALSE
MSHA,1519057,1,1,1,NA,1,1,TRUE
MSHA,1519063,21,0.6676190476190477,0.67,0.02488066757640595,0.61,0.71,TRUE
MSHA,1519066,2,1.03,1.03,0.05656854249492385,0.99,1.07,FALSE
MSHA,1519068,63,0.9350793650793651,0.9,0.21586191087668133,0.75,2.46,TRUE
MSHA,1519070,10,0.78,0.78,0.037416573867739424,0.73,0.85,TRUE
MSHA,1519075,15,0.9346666666666666,0.9,0.11801129889407483,0.83,1.21,TRUE
MSHA,1519088,8,0.88125,0.865,0.07219764539096826,0.76,1,TRUE
MSHA,1519097,1,0.7,0.7,NA,0.7,0.7,TRUE
MSHA,1519102,4,1.1524999999999999,1.205,0.12996794476587936,0.96,1.24,FALSE
MSHA,1519109,1,1.82,1.82,NA,1.82,1.82,FALSE
MSHA,1519111,1,0.64,0.64,NA,0.64,0.64,TRUE
MSHA,1519116,26,1.843076923076923,1.895,0.26739886657604556,0.9,2.14,FALSE
MSHA,1519121,3,1.1733333333333333,1.2,0.046188021535169974,1.12,1.2,FALSE
MSHA,1519130,6,1.4183333333333332,1.415,0.3038036646695801,1.04,1.93,FALSE
MSHA,1519132,1,1.15,1.15,NA,1.15,1.15,FALSE
MSHA,1519146,173,1.0058381502890172,0.92,0.3200490829745302,0.81,2.71,TRUE
MSHA,1519165,135,3.2634074074074073,3.4,0.5265264418569798,2.14,5.05,FALSE
MSHA,1519166,34,0.9973529411764706,0.99,0.08360472741198788,0.8,1.21,TRUE
MSHA,1519169,35,0.9777142857142856,0.99,0.03473307580134316,0.91,1.04,TRUE
MSHA,1519176,11,0.8927272727272727,0.87,0.17894641148069493,0.62,1.15,TRUE
MSHA,1519177,1,0.74,0.74,NA,0.74,0.74,TRUE
MSHA,1519189,61,0.949016393442623,0.95,0.29170593022216046,0.47,1.82,TRUE
MSHA,1519195,9,1.3166666666666667,1.36,0.16740669042783207,1.06,1.6,FALSE
MSHA,1519196,5,0.71,0.71,0.02738612787525829,0.67,0.74,TRUE
MSHA,1519198,31,1.5651612903225807,1.58,0.08469045470582601,1.36,1.75,FALSE
